<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	99883.75	100079.30	98859.20	99820.98	1800	0	2666
2025.01.01	01:00:00	99822.11	100014.09	99028.79	99189.71	1800	0	2666
2025.01.01	02:00:00	99168.10	99471.96	98159.48	98810.27	1799	0	2666
2025.01.01	03:00:00	98792.96	99632.37	98781.56	99162.95	1800	0	2666
2025.01.01	04:00:00	99148.42	99997.23	99068.73	99349.84	1800	0	2666
2025.01.01	05:00:00	99359.99	99534.11	98191.12	99383.87	1798	0	2666
2025.01.01	06:00:00	99396.89	99546.75	97744.97	99472.09	1800	0	2666
2025.01.01	07:00:00	99490.34	99665.56	97556.09	97810.24	1799	0	2666
2025.01.01	08:00:00	97814.49	99262.88	97814.49	98939.13	1800	0	2666
2025.01.01	09:00:00	98946.00	99335.56	98198.93	98413.85	1800	0	2666
2025.01.01	10:00:00	98397.86	98458.00	97499.13	97612.35	1799	0	2666
2025.01.01	11:00:00	97618.90	97988.33	96831.88	97608.84	1800	0	2666
2025.01.01	12:00:00	97618.51	97874.51	96390.61	96810.46	1798	0	2666
2025.01.01	13:00:00	96812.44	97741.18	96151.36	97728.79	1799	0	2666
2025.01.01	14:00:00	97711.38	98007.64	97270.11	97812.22	1800	0	2666
2025.01.01	15:00:00	97793.77	98294.91	97321.74	97366.69	1799	0	2666
2025.01.01	16:00:00	97347.88	97598.41	96713.31	97078.13	1800	0	2666
2025.01.01	17:00:00	97064.31	99022.42	96998.48	98591.74	1799	0	2666
2025.01.01	18:00:00	98545.30	98786.32	97536.07	98703.72	1799	0	2666
2025.01.01	19:00:00	98720.03	98731.26	97841.53	98275.07	1800	0	2666
2025.01.01	20:00:00	98271.24	98271.24	95984.74	96218.84	1800	0	2666
2025.01.01	21:00:00	96221.82	96506.64	95757.56	95906.54	1800	0	2666
2025.01.01	22:00:00	95876.40	95955.06	94817.05	95904.93	1799	0	2666
2025.01.01	23:00:00	95913.75	96354.47	95392.25	95398.77	1799	0	2666
2025.01.02	00:00:00	95389.01	96404.77	94924.04	95927.87	1798	0	2666
2025.01.02	01:00:00	95920.07	96197.73	95166.58	96010.39	1800	0	2666
2025.01.02	02:00:00	96014.25	96048.22	95141.88	95959.86	1800	0	2666
2025.01.02	03:00:00	95950.12	97481.38	95795.25	97240.72	1800	0	2666
2025.01.02	04:00:00	97264.90	98294.29	97184.33	98080.80	1798	0	2666
2025.01.02	05:00:00	98091.21	99697.21	98036.22	99697.21	1800	0	2666
2025.01.02	06:00:00	99706.49	100130.83	98896.87	99269.28	1800	0	2666
2025.01.02	07:00:00	99268.16	99400.39	98612.03	98646.83	1800	0	2666
