<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	350290.29	351142.99	349424.94	349896.19	450	0	7400
2024.01.01	00:15:00	349979.82	350286.68	348574.36	348651.69	450	0	7400
2024.01.01	00:30:00	348656.22	350597.80	348574.27	350111.75	450	0	7400
2024.01.01	00:45:00	350137.98	351449.58	349799.10	350629.01	450	0	7400
2024.01.01	01:00:00	350605.62	353346.54	349799.87	353266.24	450	0	7400
2024.01.01	01:15:00	353366.58	353849.01	352367.00	352808.88	450	0	7400
2024.01.01	01:30:00	352870.82	354477.72	352728.13	352929.10	450	0	7400
2024.01.01	01:45:00	352886.01	355057.75	352432.67	355057.75	450	0	7400
2024.01.01	02:00:00	355059.56	356213.72	354027.57	356213.72	450	0	7400
2024.01.01	02:15:00	356282.36	357062.60	355795.11	356036.27	450	0	7400
2024.01.01	02:30:00	355930.76	357027.04	355688.76	356347.15	450	0	7400
2024.01.01	02:45:00	356353.27	356462.07	354775.34	355718.84	450	0	7400
2024.01.01	03:00:00	355627.15	356645.67	354443.55	355260.51	450	0	7400
2024.01.01	03:15:00	355218.37	355801.63	354161.66	355170.28	450	0	7400
2024.01.01	03:30:00	355180.49	356103.57	354379.23	354429.22	450	0	7400
2024.01.01	03:45:00	354282.98	354824.29	353007.36	353007.36	450	0	7400
2024.01.01	04:00:00	352969.33	352969.33	350807.61	352122.37	450	0	7400
2024.01.01	04:15:00	352115.76	352616.98	350435.16	350700.01	450	0	7400
2024.01.01	04:30:00	350810.00	351098.21	347070.57	347070.57	450	0	7400
2024.01.01	04:45:00	347030.69	349015.52	347009.77	347206.25	450	0	7400
2024.01.01	05:00:00	347300.60	349445.18	347093.98	349271.94	450	0	7400
2024.01.01	05:15:00	349341.99	350297.63	348358.90	350206.17	450	0	7400
2024.01.01	05:30:00	350103.94	350473.76	348743.57	349394.57	450	0	7400
2024.01.01	05:45:00	349416.66	349427.48	346783.46	347575.35	450	0	7400
2024.01.01	06:00:00	347604.44	348194.33	346248.20	347935.05	450	0	7400
2024.01.01	06:15:00	347964.86	348596.07	347081.88	347837.82	450	0	7400
2024.01.01	06:30:00	347765.01	350244.72	347521.06	350114.34	450	0	7400
2024.01.01	06:45:00	350063.53	350553.79	348996.23	350175.19	450	0	7400
2024.01.01	07:00:00	350153.32	350602.61	348007.55	348092.92	450	0	7400
2024.01.01	07:15:00	348094.34	351622.35	348072.25	351445.46	450	0	7400
2024.01.01	07:30:00	351435.55	353063.46	351051.42	351573.50	450	0	7400
2024.01.01	07:45:00	351666.43	352390.85	351170.33	352024.29	450	0	7400
2024.01.01	08:00:00	352038.74	352402.29	349489.10	350109.26	450	0	7400
2024.01.01	08:15:00	350073.92	350253.04	347921.48	349392.51	450	0	7400
2024.01.01	08:30:00	349373.58	349894.38	348220.31	348354.63	450	0	7400
2024.01.01	08:45:00	348283.82	348689.91	346642.59	347495.24	450	0	7400
2024.01.01	09:00:00	347541.73	347642.78	346438.27	346514.66	450	0	7400
2024.01.01	09:15:00	346440.75	347453.26	345344.82	345344.82	450	0	7400
2024.01.01	09:30:00	345359.89	345898.18	344603.63	344696.06	450	0	7400
2024.01.01	09:45:00	344765.83	345334.02	344089.91	344903.02	450	0	7400
2024.01.01	10:00:00	344854.90	345786.58	343936.93	345478.55	450	0	7400
2024.01.01	10:15:00	345444.54	346472.02	345086.84	346121.56	450	0	7400
2024.01.01	10:30:00	346180.68	346666.43	343288.45	343642.32	450	0	7400
2024.01.01	10:45:00	343633.35	343944.27	341360.34	342317.19	450	0	7400
2024.01.01	11:00:00	342346.90	344573.97	342111.89	344502.29	450	0	7400
2024.01.01	11:15:00	344545.71	346381.16	344452.06	344563.78	450	0	7400
2024.01.01	11:30:00	344602.38	345462.88	343637.11	344170.10	450	0	7400
2024.01.01	11:45:00	344183.83	344318.60	342830.83	343917.49	450	0	7400
2024.01.01	12:00:00	343930.51	345406.33	343509.63	344845.70	450	0	7400
2024.01.01	12:15:00	344865.50	345803.79	344104.69	345568.05	450	0	7400
2024.01.01	12:30:00	345550.36	346636.99	344950.51	345800.23	450	0	7400
2024.01.01	12:45:00	345814.77	346149.70	343215.41	343353.28	450	0	7400
2024.01.01	13:00:00	343422.32	345700.49	342787.56	345487.15	450	0	7400
2024.01.01	13:15:00	345503.19	347104.46	345503.19	346544.31	450	0	7400
2024.01.01	13:30:00	346494.81	347758.09	345655.95	345780.46	450	0	7400
2024.01.01	13:45:00	345884.81	347210.39	345460.94	347210.39	450	0	7400
2024.01.01	14:00:00	347225.18	347371.34	345618.59	345825.36	450	0	7400
2024.01.01	14:15:00	345793.31	347491.82	345371.96	347294.00	450	0	7400
2024.01.01	14:30:00	347236.75	349957.83	346608.20	349724.33	450	0	7400
2024.01.01	14:45:00	349716.04	351039.15	348352.59	348493.23	450	0	7400
2024.01.01	15:00:00	348579.64	352194.17	348579.64	351433.66	450	0	7400
2024.01.01	15:15:00	351308.75	351987.51	350185.59	350667.00	450	0	7400
2024.01.01	15:30:00	350576.85	350850.84	348856.04	350673.38	450	0	7400
2024.01.01	15:45:00	350666.40	351086.80	349933.36	350167.13	449	0	7400
2024.01.01	16:00:00	350212.86	351658.07	349334.27	349334.27	450	0	7400
2024.01.01	16:15:00	349363.33	351305.49	349255.89	350615.30	450	0	7400
2024.01.01	16:30:00	350611.40	353286.32	350429.78	352123.66	447	0	7400
2024.01.01	16:45:00	352132.58	352586.32	350771.59	351173.61	448	0	7400
2024.01.01	17:00:00	351163.31	351580.14	349225.62	349423.62	450	0	7400
2024.01.01	17:15:00	349355.87	351941.73	349355.87	351377.36	450	0	7400
2024.01.01	17:30:00	351375.81	353041.17	350650.06	352669.39	450	0	7400
2024.01.01	17:45:00	352632.46	354466.09	351861.66	354466.09	450	0	7400
2024.01.01	18:00:00	354530.95	354753.36	353160.04	354177.39	450	0	7400
2024.01.01	18:15:00	354270.04	354441.72	352680.57	353463.03	450	0	7400
2024.01.01	18:30:00	353464.03	355173.95	352290.68	354923.43	450	0	7400
2024.01.01	18:45:00	354833.81	355496.79	353188.47	353701.43	450	0	7400
2024.01.01	19:00:00	353658.40	354000.26	351002.10	352976.75	450	0	7400
2024.01.01	19:15:00	353039.43	354446.97	352669.77	353375.25	450	0	7400
2024.01.01	19:30:00	353340.65	354473.10	352666.55	353405.47	450	0	7400
2024.01.01	19:45:00	353417.22	355130.95	353214.62	355059.17	450	0	7400
2024.01.01	20:00:00	355115.71	355984.31	353867.87	354753.30	450	0	7400
2024.01.01	20:15:00	354877.38	355650.45	352870.57	353405.50	450	0	7400
2024.01.01	20:30:00	353372.20	354202.54	352818.48	353335.37	450	0	7400
2024.01.01	20:45:00	353465.62	353465.62	351490.90	352678.04	450	0	7400
2024.01.01	21:00:00	352765.77	353628.50	352018.09	353191.72	450	0	7400
2024.01.01	21:15:00	353253.67	353253.67	350915.24	352271.58	450	0	7400
2024.01.01	21:30:00	352188.23	353321.15	351856.30	352308.03	450	0	7400
2024.01.01	21:45:00	352268.07	352601.69	350793.15	351692.26	450	0	7400
2024.01.01	22:00:00	351701.41	352857.50	350874.87	350874.87	450	0	7400
2024.01.01	22:15:00	350778.60	351583.03	350122.26	351583.03	450	0	7400
2024.01.01	22:30:00	351591.23	351700.27	350087.41	350107.26	450	0	7400
2024.01.01	22:45:00	350072.44	350981.39	349121.98	349748.84	450	0	7400
2024.01.01	23:00:00	349733.06	351054.90	349182.31	349656.55	450	0	7400
2024.01.01	23:15:00	349710.36	350223.20	348693.29	348849.06	450	0	7400
2024.01.01	23:30:00	348781.06	349018.08	346726.23	346871.45	450	0	7400
2024.01.01	23:45:00	346884.44	346941.36	345150.32	345850.71	450	0	7400
2024.01.02	00:00:00	345912.94	346323.27	344831.58	346080.35	450	0	7400
2024.01.02	00:15:00	346201.12	348199.17	346061.13	347953.24	450	0	7400
2024.01.02	00:30:00	347864.60	348731.63	346786.00	347476.94	450	0	7400
2024.01.02	00:45:00	347417.94	349352.99	347109.08	347871.98	450	0	7400
2024.01.02	01:00:00	347854.18	349645.62	346755.99	349520.80	450	0	7400
2024.01.02	01:15:00	349583.14	350566.07	347396.59	348608.70	450	0	7400
2024.01.02	01:30:00	348685.14	349305.25	346901.71	348011.79	450	0	7400
2024.01.02	01:45:00	348040.83	348291.55	344180.71	344839.51	450	0	7400
2024.01.02	02:00:00	344740.19	346190.96	343394.52	343525.42	450	0	7400
2024.01.02	02:15:00	343634.26	344677.19	342704.47	343996.69	450	0	7400
2024.01.02	02:30:00	344024.93	344399.37	342229.60	344201.85	450	0	7400
2024.01.02	02:45:00	344234.02	345158.66	343435.31	344509.86	450	0	7400
2024.01.02	03:00:00	344500.52	345043.28	343248.12	343335.26	450	0	7400
2024.01.02	03:15:00	343285.04	344446.80	342658.70	343273.83	450	0	7400
2024.01.02	03:30:00	343339.54	344166.47	342841.07	343374.48	450	0	7400
2024.01.02	03:45:00	343345.61	343702.57	341825.98	342191.67	450	0	7400
2024.01.02	04:00:00	342238.87	342387.10	339639.78	340886.55	449	0	7400
2024.01.02	04:15:00	340899.42	341035.98	335965.80	336194.20	450	0	7400
2024.01.02	04:30:00	336314.57	337068.19	334619.72	334969.15	450	0	7400
2024.01.02	04:45:00	334959.21	336786.96	334886.33	335128.71	450	0	7400
2024.01.02	05:00:00	335081.85	335894.63	333155.04	333624.80	450	0	7400
2024.01.02	05:15:00	333512.86	334772.29	331827.74	334519.22	450	0	7400
2024.01.02	05:30:00	334452.94	336306.24	333761.11	336144.02	450	0	7400
2024.01.02	05:45:00	336020.34	337260.84	335188.42	336391.09	450	0	7400
2024.01.02	06:00:00	336381.08	338539.92	336062.55	337952.74	450	0	7400
2024.01.02	06:15:00	338064.56	338529.77	336601.41	337328.55	450	0	7400
2024.01.02	06:30:00	337332.99	337483.68	335338.20	336011.53	450	0	7400
2024.01.02	06:45:00	335941.84	337585.69	335529.79	337361.11	450	0	7400
2024.01.02	07:00:00	337301.90	337514.06	335902.36	335976.20	450	0	7400
2024.01.02	07:15:00	335931.33	337425.50	335834.03	337373.06	450	0	7400
2024.01.02	07:30:00	337364.16	337406.03	335248.09	335976.20	450	0	7400
2024.01.02	07:45:00	335932.55	338070.87	335830.49	337131.74	450	0	7400
2024.01.02	08:00:00	337090.18	337691.92	335855.15	337499.54	450	0	7400
2024.01.02	08:15:00	337558.34	337558.34	335055.85	335749.70	450	0	7400
2024.01.02	08:30:00	335751.73	337139.84	335407.94	336084.16	450	0	7400
2024.01.02	08:45:00	336189.20	336496.86	335141.72	336001.36	450	0	7400
2024.01.02	09:00:00	336077.37	337531.33	335833.00	336432.58	450	0	7400
2024.01.02	09:15:00	336451.11	338879.77	336331.37	337758.19	450	0	7400
2024.01.02	09:30:00	337788.87	339362.07	337148.25	338787.88	450	0	7400
2024.01.02	09:45:00	338782.60	340858.85	338264.95	340815.45	450	0	7400
2024.01.02	10:00:00	340737.87	340797.68	338268.24	339005.90	450	0	7400
2024.01.02	10:15:00	338956.78	340630.01	338553.23	340083.08	450	0	7400
2024.01.02	10:30:00	340229.74	340462.05	338613.11	339194.24	450	0	7400
2024.01.02	10:45:00	339142.06	339585.43	337648.37	337919.76	450	0	7400
2024.01.02	11:00:00	337948.97	338793.08	335752.54	336320.97	450	0	7400
2024.01.02	11:15:00	336379.49	337181.30	335762.40	336788.87	450	0	7400
2024.01.02	11:30:00	336880.16	337124.68	335803.43	336228.99	450	0	7400
2024.01.02	11:45:00	336098.16	337495.77	335467.02	337455.35	450	0	7400
2024.01.02	12:00:00	337397.32	337831.56	336673.00	337691.18	450	0	7400
2024.01.02	12:15:00	337739.09	340904.77	337650.92	339762.02	450	0	7400
2024.01.02	12:30:00	339680.15	341098.54	339350.53	339958.83	450	0	7400
2024.01.02	12:45:00	340000.94	340557.49	339262.30	340299.40	450	0	7400
2024.01.02	13:00:00	340365.50	340639.23	338607.12	338945.03	450	0	7400
2024.01.02	13:15:00	338961.38	340089.17	338401.14	339599.89	450	0	7400
2024.01.02	13:30:00	339544.14	339608.39	337805.01	337805.01	450	0	7400
2024.01.02	13:45:00	337895.12	339599.59	337664.89	339413.53	450	0	7400
2024.01.02	14:00:00	339461.26	339969.81	337436.93	338111.33	450	0	7400
2024.01.02	14:15:00	338130.66	338770.91	336580.50	336893.91	450	0	7400
2024.01.02	14:30:00	336904.03	338161.62	335591.78	338161.62	450	0	7400
2024.01.02	14:45:00	338270.07	339746.13	337081.06	337436.17	450	0	7400
2024.01.02	15:00:00	337520.73	338173.74	336971.27	337602.09	450	0	7400
2024.01.02	15:15:00	337620.84	338776.32	337203.94	337203.94	450	0	7400
2024.01.02	15:30:00	337245.55	337740.07	335997.30	336726.83	450	0	7400
2024.01.02	15:45:00	336711.95	337755.38	336585.50	336819.24	450	0	7400
2024.01.02	16:00:00	336731.96	338260.01	336430.28	336901.23	450	0	7400
2024.01.02	16:15:00	336829.76	336883.03	334974.00	335724.15	450	0	7400
2024.01.02	16:30:00	335700.17	336473.89	334436.71	334580.60	450	0	7400
2024.01.02	16:45:00	334626.92	336896.17	334488.33	336873.94	450	0	7400
2024.01.02	17:00:00	336825.25	337848.71	336383.12	336796.30	450	0	7400
2024.01.02	17:15:00	336829.23	338727.32	336751.64	337767.28	450	0	7400
2024.01.02	17:30:00	337770.60	339240.54	337549.70	338582.71	450	0	7400
2024.01.02	17:45:00	338665.12	339743.42	337843.02	338106.91	450	0	7400
2024.01.02	18:00:00	338145.49	339795.41	338037.96	339301.11	450	0	7400
2024.01.02	18:15:00	339320.83	339982.77	337725.09	339866.96	450	0	7400
2024.01.02	18:30:00	339858.51	339885.97	337502.79	338835.09	450	0	7400
2024.01.02	18:45:00	338839.10	340557.92	338839.10	340557.92	450	0	7400
2024.01.02	19:00:00	340626.06	341228.86	339365.39	339754.37	450	0	7400
2024.01.02	19:15:00	339701.10	340702.17	339308.39	339308.39	450	0	7400
2024.01.02	19:30:00	339369.01	341330.43	339180.09	341330.43	450	0	7400
2024.01.02	19:45:00	341315.79	342536.93	339413.94	342436.68	450	0	7400
2024.01.02	20:00:00	342500.99	342631.41	340957.44	342100.06	450	0	7400
2024.01.02	20:15:00	342170.38	343679.33	341365.38	342313.59	450	0	7400
2024.01.02	20:30:00	342328.30	343171.26	341421.91	341421.91	450	0	7400
2024.01.02	20:45:00	341506.49	342362.16	341237.75	341526.08	450	0	7400
2024.01.02	21:00:00	341532.04	342780.54	339756.23	339987.53	450	0	7400
2024.01.02	21:15:00	340078.07	342198.54	339846.05	341597.53	450	0	7400
2024.01.02	21:30:00	341446.60	343228.48	341302.63	341920.56	450	0	7400
2024.01.02	21:45:00	341946.48	343179.63	341725.24	343148.09	450	0	7400
2024.01.02	22:00:00	343183.11	343470.98	341725.80	342739.54	450	0	7400
2024.01.02	22:15:00	342744.38	342946.97	341327.93	342010.60	450	0	7400
2024.01.02	22:30:00	342006.62	343237.75	341436.46	342993.09	450	0	7400
2024.01.02	22:45:00	342923.70	343370.47	340945.17	341358.29	450	0	7400
2024.01.02	23:00:00	341424.87	343545.41	341161.29	343076.39	450	0	7400
2024.01.02	23:15:00	343159.01	343866.36	341848.85	342301.44	450	0	7400
2024.01.02	23:30:00	342304.98	342421.57	339466.23	339821.34	450	0	7400
2024.01.02	23:45:00	339813.10	340268.57	337769.56	337812.03	450	0	7400
2024.01.03	00:00:00	337723.65	340256.64	337673.85	340205.12	450	0	7400
2024.01.03	00:15:00	340210.59	340999.91	339567.00	339986.01	450	0	7400
2024.01.03	00:30:00	339995.91	342297.82	339586.26	342214.47	450	0	7400
2024.01.03	00:45:00	342206.93	343400.01	340212.42	340369.02	450	0	7400
2024.01.03	01:00:00	340450.71	343455.25	340417.04	343047.89	450	0	7400
2024.01.03	01:15:00	342960.39	343452.04	342358.67	342691.82	450	0	7400
2024.01.03	01:30:00	342775.11	344575.98	342775.11	343807.34	450	0	7400
2024.01.03	01:45:00	343788.48	344150.14	342189.74	343938.07	450	0	7400
2024.01.03	02:00:00	343983.05	344167.25	341978.42	342084.68	450	0	7400
2024.01.03	02:15:00	342032.26	342934.99	339916.91	339950.08	450	0	7400
2024.01.03	02:30:00	339946.59	341178.08	339221.10	340260.84	450	0	7400
2024.01.03	02:45:00	340290.27	341363.71	339087.08	340774.47	450	0	7400
2024.01.03	03:00:00	340767.43	340900.80	338098.41	340147.32	450	0	7400
2024.01.03	03:15:00	340104.97	340562.07	337792.44	337983.50	450	0	7400
2024.01.03	03:30:00	338060.65	339981.91	337960.21	338138.69	450	0	7400
2024.01.03	03:45:00	338123.55	338210.45	336298.24	336614.47	450	0	7400
2024.01.03	04:00:00	336535.64	338234.23	336452.38	338224.29	450	0	7400
2024.01.03	04:15:00	338141.47	339066.52	337553.52	337863.26	450	0	7400
2024.01.03	04:30:00	337883.07	339087.19	337064.04	337142.43	450	0	7400
2024.01.03	04:45:00	337155.46	339643.15	336989.05	339025.24	450	0	7400
2024.01.03	05:00:00	339034.94	340132.18	338391.68	338916.34	450	0	7400
2024.01.03	05:15:00	338890.98	340074.01	338658.43	339478.81	450	0	7400
2024.01.03	05:30:00	339371.66	339564.05	337243.08	337247.16	450	0	7400
2024.01.03	05:45:00	337257.54	337858.99	334494.07	335681.63	450	0	7400
2024.01.03	06:00:00	335662.91	337329.88	334721.03	334901.70	450	0	7400
2024.01.03	06:15:00	334848.11	335031.16	331597.91	331659.08	450	0	7400
2024.01.03	06:30:00	331716.15	332867.41	331279.90	331667.47	450	0	7400
2024.01.03	06:45:00	331697.88	333273.17	330985.66	333011.02	450	0	7400
2024.01.03	07:00:00	332997.84	334571.33	332307.11	333796.10	450	0	7400
2024.01.03	07:15:00	333743.96	334300.35	332564.36	332926.44	450	0	7400
2024.01.03	07:30:00	332942.68	333208.50	330044.54	330044.54	450	0	7400
2024.01.03	07:45:00	330120.71	330120.71	328223.06	328436.63	450	0	7400
2024.01.03	08:00:00	328454.75	328819.04	325765.70	325846.81	450	0	7400
2024.01.03	08:15:00	325755.06	327404.24	325755.06	327305.30	450	0	7400
2024.01.03	08:30:00	327287.81	327439.97	325168.69	326071.45	450	0	7400
2024.01.03	08:45:00	326135.39	326955.97	325287.44	326771.59	450	0	7400
2024.01.03	09:00:00	326739.56	327062.35	325638.48	326180.08	450	0	7400
2024.01.03	09:15:00	326207.89	327208.48	324682.76	324682.76	450	0	7400
2024.01.03	09:30:00	324585.51	325616.37	322964.22	323318.74	450	0	7400
2024.01.03	09:45:00	323359.05	324174.16	323210.64	323411.33	450	0	7400
2024.01.03	10:00:00	323364.35	324183.91	322286.13	323972.17	450	0	7400
2024.01.03	10:15:00	323966.07	323971.76	322609.12	323367.52	450	0	7400
2024.01.03	10:30:00	323405.66	324474.35	322705.87	323092.20	450	0	7400
2024.01.03	10:45:00	323061.66	323254.11	321465.19	321946.15	450	0	7400
2024.01.03	11:00:00	321983.63	322026.32	319028.63	319237.60	450	0	7400
2024.01.03	11:15:00	319177.61	319369.99	317099.16	318192.79	450	0	7400
2024.01.03	11:30:00	318269.97	319068.74	316984.00	319068.74	450	0	7400
2024.01.03	11:45:00	319059.88	319445.61	317830.13	318515.81	450	0	7400
2024.01.03	12:00:00	318561.14	319579.48	317393.71	317653.74	450	0	7400
2024.01.03	12:15:00	317684.79	320247.29	317648.10	319914.02	450	0	7400
2024.01.03	12:30:00	319905.61	320423.46	319065.31	319815.85	450	0	7400
2024.01.03	12:45:00	319858.97	321449.22	319331.79	320998.71	450	0	7400
2024.01.03	13:00:00	320995.17	323007.90	320545.64	322067.57	450	0	7400
2024.01.03	13:15:00	322052.34	322369.75	317980.58	317999.34	450	0	7400
2024.01.03	13:30:00	317991.53	318568.49	316612.91	316647.45	450	0	7400
2024.01.03	13:45:00	316695.20	317184.10	315268.69	315882.07	450	0	7400
2024.01.03	14:00:00	315861.94	316083.26	314794.02	315348.06	449	0	7400
2024.01.03	14:15:00	315309.29	315695.43	314392.76	315151.44	450	0	7400
2024.01.03	14:30:00	315200.90	315232.66	313189.98	313947.57	450	0	7400
2024.01.03	14:45:00	313966.53	314669.52	313548.70	313646.94	450	0	7400
2024.01.03	15:00:00	313667.45	315413.81	313504.89	315342.73	450	0	7400
2024.01.03	15:15:00	315246.33	315303.85	313947.03	314843.69	450	0	7400
2024.01.03	15:30:00	314771.66	315215.21	313372.09	313698.53	450	0	7400
2024.01.03	15:45:00	313781.36	316914.65	313781.36	316913.15	450	0	7400
2024.01.03	16:00:00	316933.76	318517.81	316516.42	318173.88	450	0	7400
2024.01.03	16:15:00	318147.18	318646.82	317519.18	318061.02	450	0	7400
2024.01.03	16:30:00	318077.94	318138.61	316212.30	316632.66	450	0	7400
2024.01.03	16:45:00	316631.52	317488.82	315893.16	317006.52	450	0	7400
2024.01.03	17:00:00	316980.16	317010.75	314514.63	315097.63	450	0	7400
2024.01.03	17:15:00	315096.35	315716.26	314314.44	314412.92	450	0	7400
2024.01.03	17:30:00	314468.97	316372.24	314182.98	314772.23	450	0	7400
2024.01.03	17:45:00	314810.68	316008.35	314346.14	315223.22	450	0	7400
2024.01.03	18:00:00	315244.59	315315.20	313933.65	313943.97	450	0	7400
2024.01.03	18:15:00	313898.39	314119.82	312948.76	313266.62	450	0	7400
2024.01.03	18:30:00	313247.43	315163.49	313156.36	314455.94	450	0	7400
2024.01.03	18:45:00	314457.64	314590.10	313362.86	313898.02	450	0	7400
2024.01.03	19:00:00	313883.92	315677.99	313709.00	314664.44	450	0	7400
2024.01.03	19:15:00	314618.52	314695.34	313293.63	314145.01	450	0	7400
2024.01.03	19:30:00	314158.56	316390.46	313864.34	316390.46	450	0	7400
2024.01.03	19:45:00	316356.18	319290.29	316273.26	318786.24	450	0	7400
2024.01.03	20:00:00	318739.42	319374.45	317982.36	318761.09	450	0	7400
2024.01.03	20:15:00	318811.47	319102.61	316710.17	317564.12	450	0	7400
2024.01.03	20:30:00	317553.29	318587.10	316825.39	317266.89	450	0	7400
2024.01.03	20:45:00	317352.86	317623.43	316293.59	316884.50	450	0	7400
2024.01.03	21:00:00	316826.55	317202.07	315564.80	316297.97	450	0	7400
2024.01.03	21:15:00	316329.95	316995.64	314559.48	314677.34	450	0	7400
2024.01.03	21:30:00	314511.43	314933.40	312356.76	312876.58	450	0	7400
2024.01.03	21:45:00	312802.01	312802.01	310574.63	311701.97	450	0	7400
2024.01.03	22:00:00	311642.66	313417.28	311475.58	312412.05	450	0	7400
2024.01.03	22:15:00	312264.73	312336.45	309859.92	311209.88	450	0	7400
2024.01.03	22:30:00	311150.70	311403.63	309728.92	310484.45	450	0	7400
2024.01.03	22:45:00	310477.98	311073.42	308939.91	308939.91	450	0	7400
2024.01.03	23:00:00	308966.39	309060.50	306835.96	307260.56	450	0	7400
2024.01.03	23:15:00	307263.01	307548.72	305605.56	306010.72	450	0	7400
2024.01.03	23:30:00	306013.34	307324.34	305752.30	306049.04	450	0	7400
2024.01.03	23:45:00	306044.86	308109.21	306044.86	306199.42	450	0	7400
2024.01.04	00:00:00	306182.84	307361.98	305995.05	306393.26	450	0	7400
2024.01.04	00:15:00	306524.04	307830.74	306440.20	307271.47	450	0	7400
2024.01.04	00:30:00	307306.59	307468.99	305092.89	305202.79	450	0	7400
2024.01.04	00:45:00	305218.78	305319.77	303693.88	304127.42	450	0	7400
2024.01.04	01:00:00	304089.49	304141.38	300633.36	300633.36	450	0	7400
2024.01.04	01:15:00	300677.12	302201.80	300513.53	301764.56	450	0	7400
2024.01.04	01:30:00	301794.37	302840.46	301360.83	302731.60	450	0	7400
2024.01.04	01:45:00	302614.06	302915.05	301620.07	301975.96	450	0	7400
2024.01.04	02:00:00	301913.73	303559.60	301896.16	302625.57	450	0	7400
2024.01.04	02:15:00	302665.92	303344.43	300737.84	301662.56	450	0	7400
2024.01.04	02:30:00	301708.47	302950.79	301408.43	301976.09	450	0	7400
2024.01.04	02:45:00	302034.22	303084.47	301838.28	302694.20	450	0	7400
2024.01.04	03:00:00	302728.88	304896.47	302634.52	304486.53	450	0	7400
2024.01.04	03:15:00	304448.13	304748.99	301877.05	301918.63	450	0	7400
2024.01.04	03:30:00	301917.66	301999.87	300535.75	300667.13	450	0	7400
2024.01.04	03:45:00	300733.31	300976.52	299781.94	299957.19	450	0	7400
2024.01.04	04:00:00	299970.76	300671.71	298636.63	298728.98	450	0	7400
2024.01.04	04:15:00	298728.79	298849.51	296475.28	296475.28	450	0	7400
2024.01.04	04:30:00	296433.19	297368.55	296193.69	297267.63	450	0	7400
2024.01.04	04:45:00	297325.89	298313.87	297304.71	297549.22	450	0	7400
2024.01.04	05:00:00	297606.80	298565.82	297270.17	297860.67	450	0	7400
2024.01.04	05:15:00	297852.20	298755.44	296827.69	298270.92	450	0	7400
2024.01.04	05:30:00	298189.35	299168.83	297454.74	298942.12	450	0	7400
2024.01.04	05:45:00	298971.83	301810.25	298757.92	301545.76	450	0	7400
2024.01.04	06:00:00	301526.64	302897.11	300924.00	302872.48	450	0	7400
2024.01.04	06:15:00	302853.96	303655.19	302083.08	302419.29	450	0	7400
2024.01.04	06:30:00	302534.55	302919.13	300743.10	300743.10	450	0	7400
2024.01.04	06:45:00	300760.95	303143.31	300406.33	302749.16	450	0	7400
2024.01.04	07:00:00	302806.75	302810.28	300645.51	301626.19	450	0	7400
2024.01.04	07:15:00	301642.76	302096.50	300362.59	301383.51	450	0	7400
2024.01.04	07:30:00	301413.94	301651.28	300129.30	301121.96	450	0	7400
2024.01.04	07:45:00	301218.16	301581.16	300166.15	300676.15	450	0	7400
2024.01.04	08:00:00	300717.50	300788.46	298237.28	298806.60	450	0	7400
2024.01.04	08:15:00	298723.47	299936.34	298403.79	298491.41	450	0	7400
2024.01.04	08:30:00	298387.32	300017.14	297557.12	299465.80	450	0	7400
2024.01.04	08:45:00	299437.10	300931.54	299215.11	300367.77	450	0	7400
2024.01.04	09:00:00	300383.33	300800.70	298586.09	299305.40	450	0	7400
2024.01.04	09:15:00	299303.92	301693.58	298448.17	301693.58	450	0	7400
2024.01.04	09:30:00	301680.80	302407.91	300482.05	300963.61	450	0	7400
2024.01.04	09:45:00	300862.47	300923.33	299718.99	300105.10	450	0	7400
2024.01.04	10:00:00	299976.73	301246.16	299885.60	301105.15	450	0	7400
